time,pix_x,pix_y
17.72592,955,50
17.75923,955,50
17.77623,955,50
17.79326,955,50
17.80993,955,50
17.8266,955,50
17.84327,955,50
17.85993,955,50
17.87682,955,50
17.89348,955,50
17.91015,955,50
17.92682,955,50
17.9437,955,50
17.96037,955,50
17.97704,955,50
17.99398,955,50
18.01101,955,50
18.02767,955,50
18.04451,955,50
18.06117,955,50
18.07784,955,50
18.09452,955,50
18.11119,955,50
18.12788,955,50
18.14453,955,50
18.16119,955,50
18.17786,955,50
18.19481,955,50
18.21183,955,50
18.2285,955,50
18.24516,955,50
18.26183,955,50
18.27883,955,50
18.29584,955,50
18.31283,955,50
18.3295,955,50
18.34617,955,50
18.36285,955,50
18.37952,955,50
18.39619,955,50
18.41286,955,50
18.42953,955,50
18.44619,955,50
18.46304,955,50
18.48012,955,50
18.49679,956,50
18.51355,962,55
18.53021,969,65
18.54688,971,89
18.56386,969,121
18.58052,963,161
18.5972,953,205
18.61386,941,249
18.63052,932,285
18.64719,922,315
18.66386,912,339
18.68053,907,354
18.69719,903,361
18.71404,902,366
18.73095,901,371
18.74793,898,378
18.76461,897,384
18.78127,897,386
18.79809,897,386
18.81516,897,386
18.83183,897,386
18.84872,897,386
18.86557,897,386
18.88224,897,386
18.89891,902,386
18.91559,906,386
18.93262,912,382
18.94929,919,377
18.96595,926,371
18.98262,931,367
18.99954,934,366
19.01621,935,363
19.03291,937,362
19.04958,940,360
19.06639,942,358
19.08306,944,357
19.09974,944,357
19.1164,944,357
19.13307,944,357
19.14973,944,357
19.16673,944,357
19.1834,945,357
19.20007,945,357
19.21708,945,357
19.23415,945,357
19.25082,945,357
19.26748,945,357
19.28422,945,357
19.30094,945,357
19.31776,945,357
19.33475,945,357
19.35173,945,357
19.3684,945,357
19.38507,945,357
19.40182,945,357
19.41849,945,357
19.43515,944,357
19.45203,943,357
19.46904,941,357
19.48602,933,357
19.50268,924,357
19.51954,914,358
19.53655,904,360
19.55355,893,361
19.57063,882,361
19.58729,873,361
19.60423,863,361
19.6209,852,361
19.63784,841,361
19.65454,829,361
19.67121,817,360
19.68788,804,358
19.70484,796,358
19.72158,791,357
19.73859,782,356
19.75526,773,356
19.77192,766,355
19.78878,763,353
19.80557,759,353
19.82259,754,353
19.8396,749,353
19.85658,742,352
19.87324,737,351
19.88992,734,351
19.90687,734,351
19.92353,734,351
19.9402,734,351
19.95687,734,351
19.97354,734,351
19.9902,734,351
20.00687,734,351
20.02379,734,351
