time,pix_x,pix_y
69.70856,982,53
69.72546,982,53
69.74212,982,53
69.75878,982,53
69.77545,982,53
69.79212,982,53
69.80891,982,53
69.82558,982,53
69.84226,982,53
69.85933,982,53
69.87599,982,53
69.89265,982,53
69.90943,982,53
69.92609,982,53
69.94281,982,53
69.95986,982,53
69.9767,982,53
69.99336,982,53
70.01003,982,53
70.02679,982,53
70.04362,982,53
70.06039,982,54
70.07706,974,67
70.09372,968,82
70.11067,962,97
70.12743,953,116
70.14444,944,132
70.16144,933,146
70.1781,922,161
70.19477,906,176
70.21144,891,189
70.2283,884,199
70.24528,878,209
70.26228,867,223
70.27895,858,233
70.29593,851,239
70.31297,841,247
70.32964,836,251
70.34631,831,252
70.36297,814,257
70.37964,794,262
70.3963,773,267
70.41309,759,269
70.42975,748,272
70.44641,746,272
70.46308,746,272
70.47974,746,272
70.49667,746,272
70.5137,746,272
70.5307,746,272
70.54766,746,272
70.56433,746,272
70.581,746,272
70.59766,746,272
70.61435,746,272
70.63109,746,272
70.64775,746,272
70.66442,746,272
70.68108,746,272
70.69794,746,272
70.71484,746,272
70.73151,746,272
70.74818,746,272
70.76483,746,272
70.78175,746,272
70.79884,746,272
70.81551,746,272
70.83217,746,272
70.84884,746,272
70.86581,746,272
70.88272,746,272
70.89939,746,272
70.91606,746,272
70.9328,746,272
70.95027,746,272
70.96691,746,272
70.98416,746,272
71.00082,746,272
71.0175,746,272
71.03416,746,272
71.05083,746,272
71.06783,746,272
71.08459,746,272
71.10126,746,272
71.11794,746,272
71.1346,746,272
71.15165,746,272
71.16866,746,272
71.18563,746,272
71.20229,746,272
71.21922,746,272
71.23589,746,272
71.25256,746,272
71.26955,746,272
71.28622,746,272
71.30289,746,272
71.31955,746,272
71.33649,746,272
71.35315,746,272
71.36982,746,272
71.38649,746,272
71.4035,746,272
71.42017,746,272
71.43684,746,272
71.4535,746,272
71.47048,746,272
71.4875,746,272
71.50417,746,272
71.52084,750,273
71.53752,752,274
71.55418,757,274
71.57085,767,278
71.58752,782,283
71.60419,804,288
71.62085,835,294
71.63752,867,301
71.65418,895,304
71.67085,922,308
71.68781,951,311
71.70478,985,314
71.72172,1019,317
71.73839,1051,321
71.75517,1081,322
71.77184,1105,323
71.78851,1115,324
71.80543,1116,324
71.82207,1116,324
71.83875,1116,324
71.85564,1116,324
71.87231,1116,324
71.88927,1116,324
71.90594,1116,324
71.92265,1116,324
71.93932,1116,324
71.95599,1116,324
71.97286,1116,324
71.98954,1116,324
72.00621,1116,324
72.02287,1116,324
72.03954,1114,324
72.05647,1111,324
72.07314,1109,324
72.09009,1106,324
72.10709,1102,323
72.12408,1098,323
72.14105,1094,321
72.15791,1091,321
72.17458,1084,321
72.19125,1082,321
72.20808,1081,321
72.22475,1079,321
72.24163,1078,321
72.25864,1078,321
72.2757,1077,321
72.29272,1074,321
72.30939,1073,321
72.32606,1071,321
72.34272,1068,321
72.35956,1067,321
72.37637,1067,321
72.39311,1067,321
72.40981,1067,321
72.42651,1067,321
72.44318,1067,321
72.45984,1067,321
72.47672,1067,321
72.49366,1067,321
72.5107,1067,321
72.52754,1067,321
