time,pix_x,pix_y
58.45943,1014,63
58.4761,1014,63
58.49309,1014,63
58.50976,1014,63
58.52642,1014,63
58.54338,1014,63
58.56036,1014,63
58.57703,1014,63
58.5937,1014,63
58.61037,1014,63
58.62703,1014,63
58.6437,1014,63
58.66037,1014,63
58.67703,1014,63
58.6937,1014,63
58.71037,1014,63
58.72733,1014,63
58.74399,1014,63
58.76068,1014,63
58.7777,1014,63
58.79436,1014,63
58.81103,1014,63
58.8277,1014,63
58.84436,1014,63
58.86103,1014,63
58.8777,1014,63
58.89476,1014,63
58.91176,1014,63
58.92877,1014,63
58.94559,1014,63
58.96227,1014,63
58.97893,1014,63
58.99572,1014,63
59.01239,1014,63
59.02929,1014,63
59.04629,1014,63
59.06317,1014,63
59.07983,1014,63
59.09657,1014,63
59.11357,1014,63
59.13058,1014,63
59.14752,1014,63
59.16418,1014,63
59.18085,1014,63
59.19783,1014,63
59.21484,1014,63
59.2315,1014,63
59.24817,1014,63
59.26516,1014,63
59.28186,1014,63
59.29887,1014,63
59.31589,1014,63
59.33289,1014,63
59.34989,1020,66
59.36656,1050,82
59.38341,1091,104
59.40007,1121,134
59.41674,1118,166
59.43341,1091,192
59.45053,1058,223
59.46719,1027,259
59.48385,1008,289
59.50052,1004,307
59.51719,1005,319
59.53385,1007,327
59.55052,1007,328
59.56718,1007,331
59.58395,1007,331
59.60067,1007,331
59.61773,1007,331
59.63464,1007,331
59.65142,1007,331
59.66813,1007,331
59.6848,1007,331
59.70147,1007,331
59.71815,1007,331
59.73483,1007,331
59.75148,1007,331
59.76815,1007,332
59.78482,1007,332
59.80148,1007,332
59.81816,1007,332
59.83482,1007,332
59.85149,1007,332
59.86816,1007,332
59.88482,1007,332
59.90177,1007,332
59.91843,1007,332
59.9351,1007,332
59.95176,1007,332
59.96868,1007,332
59.98553,1007,332
60.00219,1007,332
60.01914,1007,332
60.0359,1007,332
60.0526,1007,332
60.06927,1007,332
60.08629,1007,332
60.10296,1007,332
60.11963,1007,332
60.13643,1007,332
60.1531,1007,332
60.16977,1007,332
60.18644,1007,332
60.20339,1007,332
60.22005,1007,332
60.23677,1007,332
60.2538,1007,332
60.27082,1007,332
60.28764,1007,332
60.30431,1007,332
60.32098,1007,332
60.3377,1007,332
60.35437,1007,332
60.37104,1007,332
60.38806,1007,332
60.40511,1007,332
60.42218,1007,332
60.43917,1007,332
60.45584,1007,332
60.4725,1007,332
60.48917,1007,332
60.50613,1007,332
60.52313,1007,332
60.53979,1007,332
60.55674,1007,332
60.57404,1007,332
60.59113,1007,332
60.60801,1007,332
60.62468,1007,332
60.64134,1007,332
60.65801,1007,332
60.67468,1007,332
60.69174,1007,332
60.70841,1007,332
60.72531,1007,332
60.74238,1007,332
60.75932,1007,332
60.77637,1007,332
60.79303,1007,332
60.8097,1007,332
60.8266,1007,332
60.84327,1007,332
60.85993,1007,332
60.87691,1007,332
60.8937,1007,332
60.91072,1007,332
60.92739,1007,332
60.94406,1007,332
60.96078,1007,332
60.97771,1007,332
60.99437,1007,332
61.01104,1007,332
61.02771,1007,332
61.04467,1007,332
61.06147,1007,332
61.07854,1007,332
61.0952,1007,332
61.11187,1007,332
61.12853,1007,332
61.1452,1007,332
61.16201,1007,332
61.17867,1007,332
61.19567,1007,332
61.21266,1007,332
61.22933,1007,332
61.24626,1007,332
61.26293,1007,332
61.27959,1007,332
61.29654,1007,332
61.31353,1007,332
61.3302,1007,332
61.34687,1007,332
61.36364,1007,332
61.38078,1007,332
61.3978,1007,332
61.41446,1007,332
61.43113,1007,332
61.44779,1007,332
61.46468,1007,332
61.48169,1007,332
61.49836,1007,332
61.51544,1007,332
61.5321,1007,332
61.54907,1007,332
61.56608,1007,332
61.58314,1007,332
61.59989,1007,332
61.61656,1007,332
61.63322,1007,332
61.64989,1007,332
61.66676,1007,332
61.68343,1007,332
61.7001,1007,332
61.71676,1007,332
61.73363,1007,332
61.7503,1007,332
61.76697,1007,332
61.78375,1007,332
61.8009,1007,332
61.81757,1007,332
61.83423,1007,332
61.85089,1007,332
61.86757,1007,332
61.8845,1007,332
61.90117,1007,332
61.91787,1007,332
61.93473,1007,332
61.95179,1007,332
61.96877,1007,332
61.98544,1007,332
62.0021,1007,332
62.01887,1007,332
62.03553,1007,332
62.0522,1007,332
62.06898,1007,332
62.08565,1007,332
62.10231,1007,332
62.11898,1007,332
62.13565,1007,332
62.15253,1007,332
62.16923,1007,332
62.1859,1007,332
62.20256,1007,332
62.21954,1007,332
62.23621,1007,332
62.25287,1007,332
62.26971,1007,332
62.28637,1007,332
62.30326,1007,332
62.31993,1007,332
62.33665,1007,332
62.35373,1007,332
62.37039,1007,332
62.38705,1007,332
62.40372,1007,332
62.42039,1007,332
62.43705,1007,332
62.45372,1007,332
62.47039,1007,332
62.48706,1007,332
62.50372,1007,332
62.52039,1007,332
62.53716,1007,332
62.554,1007,332
62.57067,1007,332
62.58733,1007,332
62.604,1007,332
62.62079,1007,332
62.63766,1011,325
62.65464,1021,293
62.67145,1031,244
62.68846,1040,186
62.70544,1051,115
62.72243,1060,63
62.73948,1064,36
62.75615,1066,26
62.77281,1067,25
62.78962,1069,25
62.80668,1069,25
62.82334,1069,25
62.84001,1069,25
62.85693,1069,25
62.8736,1069,25
62.89027,1069,25
62.90709,1069,25
62.9244,1069,25
62.94106,1068,24
62.95777,1066,24
62.97482,1061,24
62.99155,1053,24
63.00829,1044,29
63.02496,1034,36
63.04186,1026,44
63.05867,1022,49
63.07534,1017,53
63.092,1013,54
63.10883,1012,56
63.1256,1012,56
63.1425,1012,56
63.15916,1012,56
63.17583,1012,56
63.19293,1012,56
63.2096,1012,56
63.22662,1012,56
63.24328,1012,56
63.25995,1012,56
