time,pix_x,pix_y
75.54406,1019,53
75.56108,1019,53
75.57783,1019,53
75.59483,1019,53
75.61183,1019,53
75.6285,1019,53
75.64517,1019,53
75.66199,1019,53
75.67905,1019,53
75.69608,1019,53
75.71308,1019,53
75.72975,1019,53
75.74665,1019,53
75.76333,1019,53
75.78027,1019,53
75.79725,1020,53
75.81392,1020,53
75.83065,1020,53
75.84763,1020,53
75.8643,1020,53
75.88133,1020,53
75.89799,1020,53
75.91467,1020,53
75.93133,1020,53
75.94836,1020,53
75.96507,1020,53
75.98174,1020,53
75.99841,1020,53
76.01508,1020,53
76.03204,1020,53
76.0487,1020,53
76.06537,1020,53
76.08204,1020,53
76.09892,1020,53
76.11559,1020,53
76.13226,1020,57
76.14896,1021,59
76.16583,1021,59
76.1825,1021,61
76.19943,1019,64
76.21644,1014,68
76.23345,1011,72
76.25011,1007,77
76.26678,1002,83
76.28345,998,88
76.30017,996,91
76.31684,992,92
76.33359,991,92
76.35066,991,92
76.36747,991,92
76.38428,987,93
76.40095,979,94
76.41761,972,96
76.43432,962,98
76.45098,948,102
76.4679,922,109
76.4849,887,119
76.50156,851,126
76.51826,806,131
76.5351,738,136
76.55212,662,144
76.56917,591,149
76.58591,526,153
76.6026,469,153
76.61952,427,153
76.63652,403,153
76.65347,393,153
76.67014,391,153
76.68681,391,153
76.70362,391,153
76.72028,391,153
76.73695,391,153
76.75362,391,153
76.7703,383,153
76.78725,373,153
76.80392,368,153
76.82076,367,153
76.83742,367,153
76.85409,367,154
76.87079,363,158
76.88746,361,162
76.90443,358,169
76.9211,352,194
76.93777,343,232
76.95443,333,269
76.9711,322,311
76.98801,307,362
77.00467,296,407
77.0214,286,444
77.0384,277,479
77.05507,268,509
77.07175,267,531
77.08842,266,547
77.10538,263,566
77.1224,258,582
77.13906,254,597
77.15577,253,609
77.17243,255,627
77.1891,256,641
77.20577,257,654
77.22276,257,659
77.23964,257,659
77.25665,257,659
77.27332,257,659
77.28999,259,661
77.30665,259,664
77.32332,259,667
77.33998,259,672
77.35665,257,681
77.37332,254,687
77.38998,252,689
77.40665,252,689
77.42361,252,689
77.4407,252,689
77.4577,251,691
77.47436,251,692
77.49104,249,692
77.50787,249,692
77.52454,249,692
77.54121,249,692
77.55788,249,692
77.57464,249,692
77.5913,249,692
77.60809,249,692
77.62518,249,692
77.64262,249,692
77.65928,249,692
77.67595,249,692
77.69277,249,692
77.70944,249,692
77.7261,249,692
77.74277,249,692
77.75944,248,689
77.77648,247,680
77.79343,246,673
77.8101,244,668
77.82677,244,661
77.84345,244,651
77.86012,244,635
77.87679,244,615
77.89345,244,601
77.91012,244,596
77.92679,244,594
77.94357,244,594
77.96042,244,590
77.97713,244,584
77.9938,244,571
78.01047,243,561
78.02728,243,555
78.04393,243,553
78.06073,243,550
78.0777,243,545
78.09472,243,535
78.11172,243,528
78.12839,243,526
78.14505,243,526
78.16172,243,526
78.1784,243,526
78.19506,243,526
78.21172,243,526
78.22839,243,526
78.24506,243,526
78.26172,243,526
78.27839,243,526
78.29505,243,526
78.312,243,526
78.32867,243,526
78.3456,243,526
78.36226,243,526
78.37893,243,528
78.39559,243,529
78.41225,243,533
78.42892,243,536
78.44559,244,537
78.46226,244,537
78.47893,244,537
78.4956,244,538
78.51229,244,538
78.52901,244,538
78.54598,244,538
78.56304,244,538
78.5797,244,538
78.59666,244,538
78.61333,244,538
78.63024,244,538
78.64723,244,538
78.66421,244,538
78.68121,244,538
78.69788,244,538
78.71487,242,531
78.73154,239,523
78.74821,237,515
78.76488,234,505
78.78169,232,491
78.79868,229,475
78.81535,229,461
78.83202,227,451
78.84869,226,444
78.86542,224,438
78.88241,224,430
78.89909,224,420
78.91614,224,408
78.93281,224,399
78.94955,224,391
78.96622,224,383
78.98289,224,375
78.99963,224,368
79.01631,224,365
79.03297,224,364
79.04964,224,364
79.0663,224,364
79.08296,224,364
79.09964,224,364
79.1163,224,364
79.13297,224,364
79.14964,224,364
79.16631,224,364
79.18297,226,366
79.19964,230,372
79.21631,232,377
79.23332,234,378
79.24998,234,378
79.26707,234,378
79.28399,234,378
79.30066,234,378
79.31732,234,378
79.33399,234,381
79.35086,234,381
79.36766,234,381
79.38433,234,382
79.40099,233,383
79.41766,233,383
79.43433,233,383
79.451,233,383
79.46767,233,383
79.48433,233,383
79.50105,233,383
79.51805,233,383
79.53472,233,383
79.55161,233,383
79.56828,233,383
79.58496,233,383
79.60162,233,383
79.61829,233,371
79.63506,233,354
79.65208,233,341
79.66891,234,329
79.68559,235,313
79.70242,236,299
79.71908,237,289
79.73575,237,281
79.75282,237,276
79.76949,237,276
79.78616,237,276
79.80282,237,275
79.81949,237,268
79.83616,239,260
79.85282,239,258
79.86949,239,258
79.88615,239,256
79.90282,239,256
79.91949,239,255
79.93645,239,255
79.95311,239,255
79.96978,239,255
79.98655,239,255
80.00359,239,255
80.02026,239,255
80.03693,239,255
80.05381,239,255
80.07085,239,255
80.08751,239,255
80.10418,239,255
80.12085,239,255
80.13751,239,255
80.15418,239,255
80.17085,239,255
80.18761,239,255
80.20467,239,255
80.22133,239,255
80.238,239,255
80.25476,239,255
80.27171,239,255
80.28877,239,255
80.30544,239,255
80.32211,239,255
80.33877,239,255
80.35544,239,255
80.37215,239,255
80.38911,239,255
80.40578,239,255
80.42245,239,255
80.43922,239,255
80.45596,239,255
80.47296,247,253
80.48998,260,246
80.50695,271,240
80.52362,285,234
80.54067,300,226
80.55769,319,218
80.57436,341,209
80.59102,364,201
80.608,394,191
80.62491,429,181
80.64191,462,174
80.65858,501,169
80.67525,564,159
80.6921,617,151
80.70911,657,148
80.72607,691,145
80.74314,717,143
80.7598,726,141
80.77647,732,141
80.79314,737,141
80.8098,745,141
80.82654,761,142
80.84351,779,142
80.86019,800,141
80.87691,827,138
80.89394,864,133
80.9109,896,126
80.92793,920,123
80.9446,940,118
80.9614,961,113
80.9784,982,106
80.99521,999,103
81.01222,1011,99
81.02889,1024,95
81.04556,1030,93
81.06222,1030,93
81.07899,1030,93
81.09567,1030,93
81.11268,1030,93
81.12935,1030,93
81.14602,1030,93
81.16268,1030,93
81.17935,1031,91
81.19601,1031,90
81.21268,1034,88
81.22939,1035,84
81.24605,1037,80
81.26276,1039,75
81.2795,1041,70
81.29617,1044,63
81.31311,1046,54
81.32978,1047,48
81.34682,1049,43
81.36349,1049,36
81.38046,1050,31
81.39713,1050,26
81.41379,1050,23
81.43046,1050,23
81.44712,1050,23
81.46379,1050,23
81.48058,1050,23
81.49725,1050,23
81.51405,1050,23
81.53104,1050,23
81.54804,1050,23
81.56489,1050,23
81.58168,1049,26
81.59852,1048,27
81.61519,1047,29
81.63185,1044,31
81.64869,1042,33
81.66535,1039,36
81.68244,1036,41
81.69911,1034,44
81.71609,1033,46
81.73305,1032,48
81.74972,1032,48
81.76687,1032,48
81.78384,1032,48
81.8006,1032,48
81.81727,1032,49
81.83394,1032,49
81.85091,1032,49
81.86782,1032,49
81.88449,1032,49
81.90141,1032,49
81.91808,1032,51
81.93507,1032,51
81.95209,1032,51
81.96875,1032,52
81.98542,1032,52
82.00209,1032,52
82.01875,1032,52
82.03542,1032,52
82.05209,1032,52
82.06908,1032,52
82.08607,1032,52
82.10307,1032,52
82.11974,1032,52
82.13641,1032,52
82.15307,1032,52
82.16974,1032,52
82.1864,1032,52
82.20307,1032,52
82.21974,1032,52
82.2364,1032,52
