time,pix_x,pix_y
10.53183,1504,132
10.59845,1504,132
10.61513,1504,132
10.63179,1504,132
10.64874,1504,132
10.66578,1504,132
10.68276,1504,132
10.69943,1504,132
10.71635,1504,132
10.7333,1504,132
10.75003,1504,132
10.7667,1504,132
10.78338,1504,132
10.80003,1504,132
10.8168,1504,132
10.83347,1504,132
10.85013,1504,132
10.86703,1504,132
10.88408,1504,132
10.90097,1504,132
10.918,1504,132
10.93467,1504,132
10.95133,1504,132
10.968,1504,132
10.98483,1504,132
11.0015,1504,132
11.01817,1504,132
11.03484,1504,132
11.05179,1504,132
11.06849,1504,132
11.08555,1504,132
11.10221,1504,132
11.11916,1504,132
11.13619,1504,132
11.15317,1504,132
11.17016,1504,132
11.18682,1504,132
11.20349,1504,132
11.22016,1504,132
11.23683,1504,132
11.25349,1504,132
11.27016,1504,132
11.28696,1504,132
11.30382,1504,132
11.32087,1504,132
11.33754,1504,132
11.35421,1504,132
11.37088,1504,132
11.38783,1504,132
11.4045,1504,132
11.42116,1504,132
11.43783,1504,132
11.4545,1504,132
11.47116,1504,132
11.48801,1504,132
11.505,1504,132
11.52202,1504,132
11.53886,1504,132
11.5559,1504,132
11.57297,1504,132
11.58964,1504,132
11.60631,1504,132
11.62332,1504,132
11.64034,1504,132
11.65701,1504,132
11.67368,1504,132
11.69035,1504,132
11.70701,1504,132
11.72368,1504,132
11.74035,1504,132
11.75701,1504,132
11.77368,1504,132
11.79034,1504,132
11.80723,1504,132
11.8243,1504,132
11.84097,1504,132
11.85786,1504,132
11.8749,1504,132
11.89156,1504,132
11.90823,1504,132
11.92497,1504,132
11.94199,1504,132
11.95865,1504,132
11.97532,1504,132
11.99199,1504,132
12.00882,1504,132
12.0258,1504,132
12.04284,1504,132
12.05952,1504,132
12.07618,1504,132
12.09308,1504,132
12.10974,1504,132
12.12641,1504,132
12.14308,1504,132
12.15977,1504,132
12.17643,1504,132
12.19311,1504,132
12.20977,1504,132
12.22648,1504,132
12.24315,1504,132
12.26004,1504,132
12.27671,1504,132
12.29337,1504,132
12.31004,1504,132
12.32671,1504,132
12.34369,1504,132
12.36036,1504,132
12.37702,1504,132
12.3937,1504,132
12.41036,1504,132
12.4274,1504,132
12.44441,1504,132
12.46108,1504,132
12.47774,1504,132
12.49441,1504,132
12.51108,1504,132
12.52775,1504,132
12.54441,1504,132
12.56134,1504,132
12.57813,1504,132
12.59513,1504,132
12.6118,1504,132
12.62847,1504,132
12.64513,1504,132
12.66202,1504,132
12.67904,1504,132
12.696,1504,132
12.71301,1504,132
12.72969,1504,132
12.74635,1504,132
12.76314,1504,132
12.7798,1504,132
12.79647,1504,132
12.81314,1504,132
12.8298,1504,132
12.84649,1504,132
12.86352,1504,132
12.88019,1504,132
12.89686,1504,132
12.91378,1504,132
12.93045,1504,132
12.94722,1504,132
12.96388,1504,132
12.98083,1504,132
12.99782,1504,132
13.01449,1504,132
13.03142,1504,132
13.04823,1504,132
13.06511,1504,132
13.08208,1504,132
13.09876,1499,130
13.11542,1494,128
13.13217,1488,128
13.14918,1481,127
13.16606,1471,127
13.18273,1459,128
13.19939,1442,130
13.21606,1422,133
13.23272,1397,136
13.24939,1373,140
13.26612,1349,144
13.2829,1323,149
13.29957,1296,153
13.31656,1268,155
13.33356,1241,156
13.35023,1216,156
13.3669,1193,158
13.38357,1176,158
13.40023,1157,158
13.4169,1137,158
13.4336,1116,158
13.45027,1098,158
13.46708,1082,156
13.48374,1067,152
13.50041,1053,150
13.51707,1043,147
13.53374,1034,145
13.55041,1026,142
13.56708,1018,140
13.58374,1012,138
13.60057,1006,136
13.61724,998,132
13.63391,991,128
13.65057,983,123
13.66747,974,118
13.6845,968,113
13.70117,964,111
13.71784,962,108
13.73456,958,105
13.75123,956,102
13.76789,954,102
13.785,954,101
13.80169,954,101
13.81835,954,101
13.83502,954,101
13.85169,954,101
13.86864,954,101
13.88533,954,101
13.90199,954,101
13.91878,954,101
13.93573,954,97
13.9524,953,88
13.96906,951,78
13.98611,949,71
14.00311,949,65
14.01978,949,63
14.03645,949,63
14.05312,949,63
14.06979,949,63
14.08645,949,63
14.10312,949,63
14.11978,949,63
14.13666,949,63
14.15332,949,63
14.17,949,63
14.1868,949,63
14.20383,949,63
14.2205,949,63
14.23717,949,63
14.25383,949,63
14.2705,949,63
14.28717,949,63
14.30383,949,63
14.3208,949,63
14.33746,949,63
14.35413,949,63
14.37079,949,63
14.38746,949,63
14.40413,949,63
14.42081,949,63
14.4379,949,63
14.45489,949,63
14.47179,949,63
14.48846,949,63
14.50512,949,63
14.52207,949,63
14.53873,949,63
14.5554,949,63
14.57206,949,63
14.58888,949,63
14.606,949,63
14.62278,949,63
14.63947,949,63
14.6565,949,63
14.67316,949,63
14.68983,949,63
14.70677,949,63
14.72381,949,63
14.74048,949,63
14.75715,949,63
14.77381,949,63
14.79047,949,63
14.80715,949,63
14.82381,949,63
14.8405,949,63
14.85716,949,63
14.87383,949,63
14.8905,949,63
14.90716,949,63
14.92383,949,63
14.9405,949,63
14.95759,949,63
14.97426,949,63
14.99092,949,63
15.00783,949,63
15.0245,949,63
15.04145,949,63
15.05816,949,63
15.07502,949,63
15.09168,949,63
15.10835,949,63
15.12502,949,63
15.14168,949,63
15.15835,949,63
15.17502,949,63
15.19181,949,63
15.20848,949,63
15.22514,949,63
15.24181,949,63
15.25848,949,63
15.27549,949,63
15.2922,949,63
15.30887,949,63
15.32554,949,63
15.3422,949,63
15.35904,949,63
15.37571,949,63
15.39238,949,63
15.40904,949,63
15.42592,949,63
15.44294,949,63
15.45981,949,63
15.47647,949,63
15.49314,949,63
15.5098,949,63
15.52668,949,63
15.5437,950,63
15.56038,950,63
15.57705,950,63
15.59409,950,63
15.61103,950,63
15.62805,950,63
15.64508,950,63
15.6618,950,63
15.67874,950,63
15.69577,950,63
15.71279,951,63
15.72946,951,63
15.74627,951,63
15.76298,951,63
15.77971,951,63
15.79676,951,63
15.81343,951,63
15.8301,951,63
15.84684,951,63
15.86384,951,63
15.88085,951,63
15.89786,951,63
15.91483,951,63
15.93188,951,63
15.94909,951,63
15.96578,951,63
15.98279,951,63
15.99946,951,63
16.01612,951,63
16.03279,951,63
16.04946,951,63
16.06613,951,63
16.08317,951,63
16.09983,951,63
16.1165,951,63
16.13317,951,63
16.15008,951,63
16.16675,951,63
16.18341,951,63
16.20008,951,63
16.21675,951,63
16.23342,951,63
16.25008,951,63
16.26675,951,63
16.28343,951,63
16.30026,951,63
16.3169,951,63
16.33356,951,63
16.35023,951,63
16.36708,951,63
16.38375,951,63
16.40081,951,63
16.41748,951,63
16.43415,951,63
16.45081,951,63
16.46748,951,63
16.48414,951,63
16.50084,951,63
16.51751,951,63
16.53423,951,63
16.5509,951,63
16.56756,951,63
16.58423,951,63
16.6009,951,63
16.61792,951,63
16.63459,951,63
16.65125,951,63
16.66792,951,63
16.68478,951,63
16.70145,951,63
16.71812,951,63
16.73479,951,63
16.75184,951,63
16.76882,951,63
16.7858,951,63
16.8028,951,63
16.82032,951,63
16.83698,951,63
16.85382,951,63
16.87049,951,63
16.88716,951,63
16.90383,951,63
16.92049,951,63
16.93734,951,63
16.95431,951,63
16.97097,951,63
16.98766,951,63
17.0047,951,63
17.02172,951,63
17.03839,951,63
17.05506,951,62
17.07182,951,61
17.08849,952,60
17.10516,952,60
17.12182,952,58
17.13849,952,57
17.15548,954,55
17.17214,954,53
17.18881,954,51
17.20548,955,51
17.22214,955,50
17.23881,955,50
17.25548,955,50
17.27214,955,50
17.28881,955,50
17.30548,955,50
17.32214,955,50
17.33922,955,50
17.35625,955,50
17.37299,955,50
17.38978,955,50
17.40645,955,50
17.42355,955,50
17.44021,955,50
17.45688,955,50
17.47355,955,50
17.49021,955,50
17.50711,955,50
17.52378,955,50
17.54062,955,50
17.55729,955,50
17.57396,955,50
17.59083,955,50
17.60783,955,50
17.6248,955,50
17.64179,955,50
17.65846,955,50
17.67587,955,50
17.69259,955,50
17.70926,955,50
