time,pix_x,pix_y
63.27694,1012,56
63.29364,1012,56
63.31065,1012,56
63.32775,1012,56
63.3447,1012,56
63.36177,1012,56
63.37846,1012,56
63.39519,1012,56
63.4122,1012,56
63.42887,1012,56
63.44554,1012,56
63.46221,1012,56
63.47907,1012,56
63.49574,1012,56
63.51259,1012,56
63.5296,1012,56
63.5466,1012,56
63.5636,1012,56
63.58046,1012,56
63.59755,1012,56
63.61448,1012,56
63.6315,1031,57
63.64849,1039,61
63.66553,1039,62
63.68256,1042,72
63.69922,1052,93
63.71589,1066,124
63.73274,1080,159
63.7494,1092,194
63.76637,1102,224
63.78344,1109,248
63.8001,1112,267
63.81677,1112,281
63.83381,1112,288
63.85048,1112,288
63.86715,1112,288
63.8839,1112,288
63.90068,1112,289
63.91734,1112,289
63.93401,1111,296
63.95068,1104,309
63.96734,1099,319
63.98401,1093,329
64.00067,1083,339
64.01734,1076,348
64.03428,1069,353
64.05093,1067,354
64.0676,1061,357
64.08427,1052,359
64.10094,1043,361
64.11765,1033,363
64.13434,1026,364
64.15101,1018,364
64.16788,1009,366
64.18454,1001,366
64.20121,993,366
64.21788,989,366
64.23454,988,366
64.25121,987,366
64.26788,987,366
64.28455,987,366
64.30151,987,366
64.31857,987,366
64.33524,987,366
64.3522,987,366
64.36926,987,366
64.38626,987,366
64.40292,987,366
64.41959,987,366
64.43626,987,366
64.45303,987,366
64.4697,987,366
64.48645,987,366
64.50343,987,366
64.52042,987,366
64.53744,987,366
64.55411,987,366
64.57115,987,366
64.58782,987,366
64.60448,987,366
64.62115,987,366
64.63782,987,366
64.65486,987,366
64.67152,987,366
64.68819,987,366
64.70486,987,366
64.72153,987,366
64.73862,987,366
64.75529,987,366
64.77195,987,366
64.78887,987,366
64.80564,987,366
64.82231,987,366
64.83898,987,366
64.85588,987,366
64.87255,987,366
64.88922,987,366
64.90589,987,366
64.92255,987,366
64.93936,987,366
64.95603,987,366
64.97269,987,366
64.98936,987,366
65.00603,987,366
65.0227,987,366
65.03967,987,366
65.05668,987,366
65.07371,987,366
65.09037,987,366
65.10704,987,366
65.1237,987,366
65.14037,987,366
65.15726,987,366
65.17409,987,366
65.1911,987,366
65.20818,987,366
65.22514,987,366
65.24216,987,366
65.25882,987,366
65.27575,987,366
65.29269,987,366
65.30936,987,366
65.32642,987,366
65.34347,987,366
65.36014,987,366
65.37681,987,366
65.39386,987,366
65.41053,987,366
65.42719,987,366
65.44402,987,366
65.46068,987,366
65.47735,987,366
65.4943,987,366
65.51096,987,366
65.5277,987,366
65.54436,987,366
65.56104,987,366
65.57771,987,366
65.59459,987,366
65.6116,987,366
65.62828,987,366
65.64494,987,366
65.66161,987,366
65.67867,987,366
65.69534,987,366
65.71201,987,366
65.72888,987,366
65.7458,987,366
65.76247,987,366
65.77941,987,366
65.79608,987,366
65.81274,987,366
65.82941,987,366
65.84608,987,366
65.86275,987,366
65.87941,987,366
65.89608,987,366
65.91312,987,366
