time,pix_x,pix_y
29.31527,933,47
29.33207,933,47
29.34909,933,47
29.36612,934,48
29.383,934,49
29.39976,935,50
29.41643,935,51
29.4331,936,53
29.44976,937,54
29.46643,937,55
29.4831,937,55
29.49976,937,55
29.51643,937,55
29.5331,937,55
29.54976,937,55
29.56643,937,55
29.5831,937,55
29.59984,937,55
29.61684,937,55
29.63388,937,55
29.65056,937,55
29.66752,937,55
29.68421,937,55
29.70093,937,55
29.7176,937,55
29.73466,937,55
29.75177,937,55
29.76844,937,55
29.7851,937,55
29.80205,937,55
29.81906,937,56
29.83573,937,64
29.85239,937,71
29.86906,937,84
29.88595,936,101
29.90295,928,125
29.91961,919,149
29.93651,908,174
29.95318,897,201
29.96984,882,234
29.98673,869,259
30.0034,861,274
30.02039,858,279
30.0374,857,281
30.05406,856,284
30.07073,856,285
30.08775,854,288
30.10442,852,293
30.12108,851,298
30.13776,849,300
30.15473,847,308
30.17154,844,324
30.18821,841,340
30.20487,838,351
30.22178,838,355
30.23877,838,355
30.25582,838,355
30.2728,838,356
30.28948,838,356
30.30614,838,356
30.32308,838,356
30.33975,838,356
30.35682,838,356
30.37349,838,356
30.39015,838,356
30.4073,838,356
30.42397,838,356
30.44102,838,356
30.45805,838,356
30.47486,838,356
30.49186,838,356
30.50853,838,356
30.5252,838,356
30.54196,838,356
30.55862,838,356
30.57543,838,356
30.59209,838,356
30.60876,838,356
30.62543,838,356
30.64244,838,356
30.65927,838,356
30.67631,838,356
30.69298,838,356
30.70965,838,356
30.72652,838,356
30.74351,838,356
30.76018,838,356
30.77684,838,356
30.79358,838,356
30.81024,838,356
30.82691,838,356
30.84357,838,356
30.86024,838,356
30.87691,838,356
30.89388,838,356
30.91055,838,356
30.92722,838,356
30.9441,838,356
30.96134,838,356
30.97801,838,356
30.99467,838,356
31.01134,838,356
31.02802,838,356
31.04503,838,356
31.06172,838,356
31.07873,838,356
31.0954,838,356
31.11208,838,356
31.12904,838,356
31.14592,838,356
31.16259,838,356
31.17925,838,356
31.19605,838,356
31.21278,838,356
31.22945,838,356
31.24612,838,356
31.26314,838,356
31.27982,838,356
31.29676,838,356
31.31343,838,356
31.3301,838,356
31.34676,838,356
31.36402,838,356
31.38068,838,356
31.39776,838,356
31.41443,838,356
31.4311,838,356
31.44776,838,356
31.46443,838,356
31.48109,838,356
31.49793,838,356
31.51497,838,356
31.53177,838,356
31.54843,838,356
31.5651,838,356
31.58216,838,356
31.59882,838,356
31.61549,838,356
31.63216,838,356
31.64882,838,356
31.66549,838,356
31.68216,838,356
31.6991,838,356
31.71589,838,356
31.73283,838,356
31.74949,838,356
31.76616,838,356
31.78318,838,356
31.79991,838,356
31.81656,838,356
31.83323,838,356
31.8499,838,356
31.86656,838,356
31.88323,838,356
31.8999,838,356
31.91656,838,356
31.93346,838,356
31.95021,838,356
31.9672,838,356
31.98424,838,356
32.00106,838,356
32.01773,838,356
32.0344,838,356
32.05106,838,356
32.06774,838,356
32.0844,838,356
32.10107,838,356
32.11773,838,356
32.13456,838,356
32.15123,838,356
32.1679,838,356
32.18475,838,356
32.20142,838,356
32.21866,838,356
32.23533,838,356
32.25199,838,356
32.2692,838,356
32.28592,838,356
32.30292,838,356
32.31958,838,356
32.33625,838,356
32.35292,838,356
32.36987,838,356
32.38655,838,356
32.40321,838,356
32.41987,838,356
32.43653,838,356
32.45321,838,356
32.46988,838,356
32.48654,838,356
32.50321,838,356
32.51988,838,356
32.53656,838,356
32.55323,838,356
32.5699,838,356
32.58657,838,356
32.60323,838,356
32.6199,838,356
32.6367,838,356
32.65371,838,356
32.67038,838,356
32.68705,838,356
32.70371,838,356
32.72038,838,356
32.7373,838,356
32.75397,838,356
32.77063,838,356
32.7873,838,356
32.80403,838,356
32.82069,838,356
32.83736,838,356
32.85403,838,356
32.87069,838,356
32.88736,838,356
32.90405,838,356
32.92073,838,356
32.9376,838,356
32.95466,838,356
32.97132,838,356
32.98819,838,356
33.00486,838,356
33.02176,838,356
33.03843,838,356
33.0551,838,356
33.07187,838,356
33.08904,838,356
33.10598,838,356
33.12306,838,356
33.13993,838,356
33.15751,838,356
33.17417,838,356
33.19083,838,356
33.20751,838,356
33.22417,838,356
33.24084,838,356
33.25774,838,356
33.27474,838,356
33.29175,838,356
33.30852,838,356
33.32519,838,356
33.34185,838,356
